Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Shunenberg Lake,Bayfield,2743600,NO,4,,043162,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189916,09/06/2001,12,YES,3.6,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189916,10/18/2001,10.25,YES,3.1,,,44,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189935,05/24/2004,8.25,NO,2.5,,14,47,49,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,06/07/2004,10,YES,3,,,44,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
1,06/28/2004,,,,0.78,,,,33,,,,,
8189935,06/28/2004,12,YES,3.6,,14,41,49,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,08/10/2004,12,YES,3.6,1.4,15,41,49,37,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
1,09/13/2004,,,,1.64,14,,49,39,,,,,
8189935,10/04/2004,10,NO,3,,16,44,50,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,05/31/2005,12,YES,3.6,,18,41,51,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,06/21/2005,10,NO,3,1.58,16,44,50,38,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,07/11/2005,12,NO,3.6,1.22,19,41,51,36,NORMAL,1.6,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,08/22/2005,12,NO,3.6,1.64,18,41,51,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,09/26/2005,12.5,NO,3.8,,38,41,56,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,05/16/2006,9,NO,2.7,,21,45,52,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,06/12/2006,9,NO,2.7,1.63,19,45,51,38,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,07/10/2006,13.5,NO,4.1,0.27,20,40,51,25,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,08/14/2006,11,NO,3.3,0.7,25,43,53,32,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,09/11/2006,12,NO,3.6,1.77,28,41,54,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189935,05/21/2007,11,NO,3.3,,19,43,51,,NORMAL,,CLEAR,GREEN,5-Enjoyment substantially impaired (algae)
8189935,06/04/2007,10,NO,3,0.74,17,44,50,33,NORMAL,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
8189935,07/17/2007,11,NO,3.3,0.77,31,43,55,33,NORMAL,,CLEAR,GREEN,5-Enjoyment substantially impaired (algae)
8189935,09/03/2007,12,NO,3.6,1.46,29,41,54,38,NORMAL,,CLEAR,GREEN,5-Enjoyment substantially impaired (algae)
8189935,05/20/2008,12.5,NO,3.8,,15,41,49,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189935,06/23/2008,10.5,NO,3.2,1.17,19,43,51,36,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189935,07/28/2008,12.25,NO,3.7,0.77,19,41,51,33,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189935,09/08/2008,10.25,NO,3.1,,,44,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189935,09/09/2008,,,,1.16,21,,52,36,,,,,
1,05/27/2009,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/29/2009,,,,1.41,19,,51,37,,,,,
27091770,06/29/2009,12.6,NO,3.8,,,41,,,NORMAL,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
27091770,07/28/2009,,,,1.37,20,,51,37,,,,,
27091770,09/02/2009,12,NO,3.6,2,21,41,52,40,NORMAL,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)
27091770,06/22/2010,14,YES,4.3,,,39,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
1,06/24/2010,,,,0.87,17,,50,34,,,,,
27091770,07/30/2010,14,YES,4.3,,,39,,,HIGH,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
27091770,08/03/2010,,,,0.89,16,,50,34,,,,,
27091770,08/24/2010,13,YES,4,,,40,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
27091770,08/26/2010,,,,1.26,18,,51,37,,,,,
27091770,06/29/2011,15,YES,4.6,1.5,16,38,50,38,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
27091770,07/27/2011,15,YES,4.6,,,38,,,HIGH,,MURKY,GREEN,1-Beautiful, could not be nicer
27091770,07/29/2011,,,,0.55,19,,51,30,,,,,
27091770,08/26/2011,15,YES,4.6,,,38,,,HIGH,,CLEAR,,1-Beautiful, could not be nicer
27091770,07/21/2014,13.5,YES,4.1,,18.8,40,51,,,15.66,CLEAR,GREEN,1-Beautiful, could not be nicer
27091770,05/26/2015,14.75,YES,4.5,,16.8,38,50,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
1,07/15/2015,,,,0.285,15.2,,49,25,,,,,
27091770,07/15/2015,13.5,YES,4.1,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
27091770,08/26/2015,14,YES,4.3,,,39,,,HIGH,15.33,CLEAR,GREEN,1-Beautiful, could not be nicer
27091770,09/15/2015,14.5,YES,4.4,,,39,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
27091770,08/09/2016,,,,1.01,25.4,,53,35,,,,,
27091770,06/27/2017,,,,0.261,,,,25,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/24/2010,Data Collectors,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
07/30/2010,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
08/03/2010,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
08/24/2010,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
08/26/2010,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
06/29/2011,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
07/27/2011,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
07/29/2011,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
08/26/2011,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
07/21/2014,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
05/26/2015,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
07/15/2015,Data Collectors,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
07/15/2015,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
08/26/2015,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
09/15/2015,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
08/09/2016,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
06/27/2017,William Hoyer,Citizen Lake Monitoring - Water Quality - Shunenberg Lake; At Center
